filename,pitch_mean,pitch_std,energy_mean,energy_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean
s_034_1.wav,168.9322,14.4209,0.069309,0.022769,-292.2453,76.4643,107.7964,64.9541,27.0626,27.1172,14.8559,30.9006,-3.824,19.5243,-6.9313,18.4529,-5.7833,17.2361,-7.4932,13.0438,-10.2055,12.077,-18.4225,11.3557,-9.82,6.8943,-11.82,8.1483,-6.0614,6.4158,1384.4479,1432.6982,2349.1683,0.096727
s_035_1.wav,169.1989,13.5263,0.069287,0.024476,-296.6213,73.9427,113.3358,63.1525,27.0815,25.5907,13.6955,30.629,-3.362,17.9848,-3.2581,17.612,-4.899,17.293,-8.3078,12.7306,-8.5325,11.662,-16.9197,10.8841,-9.5091,6.831,-11.5401,7.9186,-5.6239,6.5651,1293.9709,1407.6298,2199.9578,0.087679
s_036_1.wav,251.8651,54.7545,0.058698,0.030313,-226.5309,78.8929,72.5778,32.8399,-9.2904,32.003,30.6079,18.8342,-1.3533,14.471,-19.3238,18.6326,0.005,15.9178,-15.7686,13.2864,-7.6367,12.06,7.186,9.2243,-12.2422,12.8436,4.3327,8.1633,0.0012,8.0218,2003.4869,1748.4976,3741.9764,0.140552
s_037_1.wav,392.6028,108.9484,0.05669,0.032056,-234.0022,94.3102,45.8015,54.3502,32.5424,15.9867,5.2252,20.3588,5.2323,16.1304,-21.6537,15.8452,-11.7534,15.6129,-18.6083,14.8884,-14.3631,13.1699,0.9082,9.4964,-14.1278,14.2291,9.4625,16.2073,9.0606,12.0947,2851.6928,2197.9635,5335.5533,0.207415
s_038_1.wav,355.8886,57.8952,0.067785,0.028251,-188.4189,37.8175,87.1126,24.4243,9.5742,15.718,11.5043,14.7533,-7.2631,12.3545,-10.0276,13.7324,-13.3579,11.1743,-3.6544,11.4321,0.3856,6.413,5.2676,8.9583,0.2543,7.4957,5.8384,8.3536,-3.7861,7.9078,1730.3217,1870.4456,3697.774,0.103817
s_039_1.wav,327.8244,60.5338,0.061475,0.019482,-243.2334,67.8857,54.327,34.4612,5.2687,28.6583,17.8459,38.0852,-43.536,25.7625,-9.4904,23.7872,-38.6424,12.7272,-7.7047,13.4429,-11.3412,11.9914,-13.868,14.9247,13.3496,13.9088,-19.3251,8.8759,2.6241,11.3015,2272.5009,1866.4128,4459.9609,0.170825
s_040_1.wav,176.4162,7.9362,0.071414,0.025783,-216.9714,52.7765,131.8943,45.4135,4.6377,21.2929,32.7164,20.2414,-18.0057,14.1041,4.547,12.4427,-12.0695,13.8898,4.5082,11.3556,-8.6954,10.0473,3.6114,9.8415,-1.5585,8.6764,-5.9534,8.8053,6.8189,7.5667,1231.334,1360.0867,2419.7545,0.071722
s_041_1.wav,290.7366,39.6858,0.06647,0.028412,-216.9541,55.9703,97.3543,23.5087,-2.8619,28.4415,0.1782,22.035,-26.3681,22.4662,-5.5461,12.7239,-9.7093,14.9972,-9.8866,16.3259,0.3611,11.6101,-6.2762,12.0756,17.498,13.0974,-11.4858,12.8652,-0.0838,9.0862,1575.4133,1736.7455,3239.4886,0.097665
s_042_1.wav,346.1882,113.4366,0.058555,0.028589,-218.7227,77.3693,51.6756,66.7346,9.4155,24.8514,-2.4797,24.0871,-19.2999,21.1406,-24.0746,18.2205,-23.5961,13.0713,-11.7929,8.6123,-23.5226,11.8924,-1.1091,10.9601,-7.5476,8.8545,-3.9881,6.8989,-6.2636,7.2012,2341.1613,1867.039,4356.4453,0.170522
s_043_1.wav,240.5897,18.843,0.063352,0.028688,-209.4469,68.0964,66.5895,56.6258,2.226,24.7164,20.6002,26.2754,-10.9709,16.4949,-11.6371,19.0457,-2.2337,12.9907,-2.2591,11.5604,-13.4618,11.7167,11.7132,8.9073,0.0411,8.9654,9.3955,9.8492,-3.5609,11.004,2074.1951,1749.7449,3772.7582,0.133336
s_044_1.wav,245.2678,30.6829,0.063798,0.029346,-187.2491,54.1246,78.6648,51.4822,9.0645,22.8581,30.2213,17.4193,-11.8931,11.1536,-9.3415,12.6755,-9.8513,13.7395,-0.877,7.9274,-3.7708,8.3942,-9.3048,12.3687,-0.7969,10.4161,-6.9836,12.3955,-5.7404,5.9833,1986.6471,1750.7893,3736.06,0.147595
